                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3279,                 3.9048,                 4.1409,                0.00058,                0.02898,                0.00053,                0.00012,                 3.4452,                 4.5168,                 4.2127,             0.00054592,             0.00054592,             0.00054592
                      2,                 2.7125,                 2.7567,                 3.1378,                0.00084,                0.01624,                 0.0008,                0.00024,                 3.3355,                 4.4119,                 4.2226,              0.0010907,              0.0010907,              0.0010907
                      3,                 2.3303,                 2.2335,                 2.6916,                 0.8444,                0.29747,                0.32393,                0.16002,                 1.8789,                 1.8252,                 2.4065,              0.0016244,              0.0016244,              0.0016244
                      4,                 2.0379,                 1.8256,                 2.4089,                0.89915,                0.33781,                0.39299,                0.23206,                 1.6397,                 1.6194,                 1.9984,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.7301,                 1.5117,                  2.061,                0.91498,                0.38393,                0.44505,                0.25977,                  1.662,                 1.3539,                 1.8949,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.5759,                 1.3223,                 1.8896,                  0.473,                0.48712,                0.47433,                0.30071,                 1.4711,                 1.3722,                 1.6668,               0.001601,               0.001601,               0.001601
                      7,                 1.4516,                 1.1914,                 1.7266,                0.45913,                0.50843,                 0.5053,                0.31772,                  1.409,                 1.1996,                 1.5785,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.4194,                 1.1224,                 1.6654,                0.47084,                 0.5292,                0.52023,                 0.3337,                 1.2871,                 1.0792,                 1.4963,               0.001568,               0.001568,               0.001568
                      9,                 1.3638,                 1.0537,                  1.601,                0.59371,                0.60565,                0.58625,                0.36841,                 1.2489,                 1.1076,                 1.4195,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3088,                  1.023,                 1.5296,                0.62847,                0.63227,                0.64821,                0.39626,                 1.2452,                 1.0043,                 1.3707,               0.001535,               0.001535,               0.001535
                     11,                 1.2772,                0.98279,                  1.487,                0.70705,                0.63356,                 0.6801,                0.42661,                 1.1729,                0.90678,                  1.331,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.2731,                0.94621,                 1.4696,                0.74749,                0.67382,                0.72492,                0.44927,                 1.1593,                0.84437,                 1.3046,               0.001502,               0.001502,               0.001502
                     13,                 1.2754,                0.93592,                 1.4502,                0.77314,                0.73444,                0.77227,                0.48599,                 1.1106,                0.81727,                 1.2481,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.2108,                 0.8873,                 1.4088,                 0.7874,                  0.718,                0.76956,                0.47739,                 1.0937,                0.82243,                 1.2468,               0.001469,               0.001469,               0.001469
                     15,                 1.1706,                0.84701,                 1.3586,                0.82932,                0.74536,                0.79981,                0.49756,                 1.1025,                0.78239,                 1.2103,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.1649,                0.83226,                 1.3424,                0.82762,                0.75444,                0.81208,                 0.5085,                 1.0494,                0.79472,                  1.179,               0.001436,               0.001436,               0.001436
